class,split,mean_intensity,std_intensity,dynamic_range,underexposed,overexposed,low_dynamic_range
tuberculosis,train,133.93702697753906,44.87076799170083,255,False,False,False
tuberculosis,train,69.64471054077148,53.40235476519083,255,True,False,False
tuberculosis,train,128.47978035348362,57.48689328282914,200,False,False,False
tuberculosis,train,130.7119186907583,40.60254259127241,255,False,False,False
tuberculosis,train,109.3996810913086,59.69217868265644,255,False,False,False
tuberculosis,train,125.81639099121094,56.66829249267709,226,False,False,False
tuberculosis,train,120.84980773925781,55.47072656271202,255,False,False,False
tuberculosis,train,168.4993667602539,58.738415225847106,252,False,False,False
tuberculosis,train,156.86724853515625,71.33137432938261,254,False,False,False
tuberculosis,train,126.389569757109,45.46096333090898,192,False,False,False
tuberculosis,train,161.20021057128906,39.11196205148986,196,False,False,False
tuberculosis,train,120.6257438659668,68.72727793640276,250,False,False,False
tuberculosis,train,163.5066091528436,35.519989397256076,210,False,False,False
tuberculosis,train,116.68185221354166,72.32610927886459,227,False,False,False
tuberculosis,train,144.28506469726562,76.96017341821504,255,False,False,False
tuberculosis,train,134.8019256591797,49.92818692323256,205,False,False,False
tuberculosis,train,134.97840881347656,44.8913987055601,255,False,False,False
tuberculosis,train,147.93990669431278,32.42673366912924,198,False,False,False
tuberculosis,train,146.23979931872037,39.47699000580284,207,False,False,False
tuberculosis,train,118.81498718261719,55.82631857881252,253,False,False,False
tuberculosis,train,156.75042579976304,30.685469755226297,232,False,False,False
tuberculosis,train,130.17372630331752,40.61294383455233,199,False,False,False
tuberculosis,train,149.79302428909952,40.069212191116364,219,False,False,False
tuberculosis,train,187.68019104003906,51.30226025634536,251,False,False,False
tuberculosis,train,132.04281616210938,89.0916529741529,255,False,False,False
tuberculosis,train,121.65476989746094,63.530514832114555,234,False,False,False
tuberculosis,train,156.4586789099526,32.46606463213318,230,False,False,False
tuberculosis,train,152.00749969482422,65.57239222213181,252,False,False,False
tuberculosis,train,160.18626403808594,71.73910038529829,255,False,False,False
tuberculosis,train,135.94497926540285,39.581672044246574,255,False,False,False
tuberculosis,train,138.6623649597168,65.77619357967806,247,False,False,False
